Date,SP500,TSLA,V,AMD,COST
2010-06-29,1041.239990234375,1.5926669836044312,17.862499237060547,7.480000019073486,55.630001068115234
2010-06-30,1030.7099609375,1.5886670351028442,17.6875,7.320000171661377,54.83000183105469
2010-07-01,1027.3699951171875,1.4639999866485596,18.21500015258789,7.389999866485596,54.900001525878906
2010-07-02,1022.5800170898438,1.2799999713897705,18.295000076293945,7.170000076293945,54.22999954223633
2010-07-06,1028.06005859375,1.0740000009536743,18.0674991607666,7.039999961853027,54.0
2010-07-07,1060.27001953125,1.053333044052124,18.704999923706055,7.389999866485596,54.290000915527344
2010-07-08,1070.25,1.1640000343322754,18.770000457763672,7.369999885559082,55.709999084472656
2010-07-09,1077.9599609375,1.159999966621399,19.344999313354492,7.340000152587891,56.189998626708984
2010-07-12,1078.75,1.136667013168335,19.127500534057617,7.360000133514404,55.93000030517578
2010-07-13,1095.3399658203125,1.2093329429626465,19.147499084472656,7.519999980926514,56.5099983215332
2010-07-14,1095.1700439453125,1.3226670026779175,19.06999969482422,7.440000057220459,56.349998474121094
2010-07-15,1096.47998046875,1.3259999752044678,18.81999969482422,7.409999847412109,56.54999923706055
2010-07-16,1064.8800048828125,1.3760000467300415,17.862499237060547,7.369999885559082,54.97999954223633
2010-07-19,1071.25,1.4606670141220093,17.80500030517578,7.440000057220459,54.81999969482422
2010-07-20,1083.47998046875,1.3533329963684082,18.399999618530273,7.599999904632568,55.09000015258789
2010-07-21,1069.5899658203125,1.3480000495910645,18.09000015258789,7.400000095367432,53.61000061035156
2010-07-22,1093.6700439453125,1.399999976158142,18.614999771118164,7.610000133514404,54.900001525878906
2010-07-23,1102.6600341796875,1.4193329811096191,18.897499084472656,7.820000171661377,55.95000076293945
2010-07-26,1115.010009765625,1.3966670036315918,19.020000457763672,8.069999694824219,55.709999084472656
2010-07-27,1113.8399658203125,1.3700000047683716,19.15250015258789,8.210000038146973,57.209999084472656
2010-07-28,1106.1300048828125,1.3813329935073853,18.795000076293945,7.980000019073486,56.5099983215332
2010-07-29,1101.530029296875,1.3566670417785645,17.9950008392334,7.78000020980835,56.209999084472656
2010-07-30,1101.5999755859375,1.329332947731018,18.337499618530273,7.489999771118164,56.709999084472656
2010-08-02,1125.8599853515625,1.3946670293807983,18.0575008392334,7.650000095367432,56.84000015258789
2010-08-03,1120.4599609375,1.463333010673523,18.25,7.510000228881836,56.54999923706055
2010-08-04,1127.239990234375,1.4173330068588257,18.112499237060547,7.519999980926514,57.400001525878906
2010-08-05,1125.81005859375,1.363332986831665,17.875,7.5,56.459999084472656
